kernel,pair_type,similarity
Linear,Same class,2.268550470484856
Linear,Same class,0.17396891773755696
Linear,Same class,0.6116505678062256
Linear,Different class,-6.448809987915905
Linear,Same class,-2.6045302310576073
Linear,Same class,11.181389254262845
Linear,Same class,21.562677350621936
Linear,Same class,-6.276338733852515
Linear,Different class,-6.807253789995421
Linear,Same class,-0.512568923301479
Linear,Different class,11.508046941904853
Linear,Different class,4.609889000904608
Linear,Different class,-4.9560109473122855
Linear,Same class,-3.2981158209924013
Linear,Same class,-0.380745336878354
Linear,Same class,4.6956726239444215
Linear,Different class,8.58180164125767
Linear,Different class,-1.69694976275322
Linear,Different class,-0.37350237996461777
Linear,Same class,3.084988759694318
Linear,Different class,-13.201549422781962
Linear,Different class,-5.735372705253001
Linear,Same class,2.564841385751823
Linear,Same class,1.0031710398472162
Linear,Different class,6.903332597412482
Linear,Different class,9.668983979208479
Linear,Same class,6.099450271587111
Linear,Different class,1.0090156586900632
Linear,Different class,3.309826471575973
Linear,Same class,-2.901734799645249
Linear,Same class,10.915722129632064
Linear,Same class,-0.7224033175961856
Linear,Same class,6.612573261680361
Linear,Different class,-5.029524542066334
Linear,Same class,12.374841027755673
Linear,Same class,-4.42738514732227
Linear,Different class,-3.3654629467163444
Linear,Same class,3.8836750718295137
Linear,Same class,-8.040510608529523
Linear,Same class,-3.3118344601755707
Linear,Same class,-3.019518736883616
Linear,Different class,11.943477047025667
Linear,Different class,-1.2283386640031135
Linear,Different class,-7.327514205924827
Linear,Different class,4.316256581668656
Linear,Same class,-7.255994231875944
Linear,Different class,5.234135361065937
Linear,Same class,4.230232382473246
Linear,Different class,6.669459356239469
Linear,Different class,-10.170314029377053
Linear,Same class,-6.437909549580083
Linear,Same class,-1.4946794871147613
Linear,Different class,6.651686501928395
Linear,Different class,-6.90851199646723
Linear,Same class,-11.158896144718156
Linear,Different class,-18.300865595930194
Linear,Different class,2.135281767447571
Linear,Same class,-9.805902436431426
Linear,Different class,-6.799670115592676
Linear,Different class,0.6799374468131077
Linear,Different class,-3.1549440797718673
Linear,Different class,-1.1115603694708918
Linear,Different class,-0.7778438886597534
Linear,Same class,5.6190299925857365
Linear,Different class,3.0181867498372195
Linear,Same class,4.697805437528137
Linear,Same class,-6.720711859047666
Linear,Different class,-8.753793761604214
Linear,Different class,2.5264250252884097
Linear,Different class,9.106722422149467
Linear,Different class,-16.654226090908466
Linear,Same class,-11.097152081314086
Linear,Different class,4.230167866878569
Linear,Same class,-6.558317499878707
Linear,Different class,-5.378441925241392
Linear,Different class,-3.481779848320591
Linear,Same class,-1.8225827942486184
Linear,Same class,-1.8556969883150054
Linear,Same class,-11.626442093500994
Linear,Same class,0.44528163938611404
Linear,Different class,4.619466024227608
Linear,Different class,-10.254903092954404
Linear,Different class,4.236954390052309
Linear,Different class,8.415997870061656
Linear,Same class,-1.83133454513482
Linear,Different class,2.171467421268118
Linear,Different class,-0.6829510017601687
Linear,Same class,0.7989894777935597
Linear,Different class,-6.2243831724882615
Linear,Same class,-4.888621728525961
Linear,Different class,-2.2752597777140666
Linear,Different class,3.373503279502621
Linear,Same class,9.471228866390387
Linear,Different class,4.327093127057656
Linear,Same class,-6.904474976572633
Linear,Same class,-5.53501257987886
Linear,Same class,1.2541458473465001
Linear,Same class,1.8687855204236945
Linear,Same class,14.642829837499406
Linear,Different class,18.495096668771257
Linear,Different class,-2.937240707543035
Linear,Same class,-10.4697556427731
Linear,Different class,-0.11029940511360528
Linear,Same class,-5.521702090621026
Linear,Different class,-2.0334828899560726
Linear,Different class,-3.546105290366625
Linear,Different class,3.3737818906392607
Linear,Same class,0.526410847323509
Linear,Different class,-0.2669308618915476
Linear,Different class,7.49965396584191
Linear,Same class,5.731261081250047
Linear,Same class,12.389476988718854
Linear,Different class,-7.095850330622744
Linear,Same class,1.2855949070050574
Linear,Same class,1.3945378008865286
Linear,Same class,-17.068726546175988
Linear,Same class,-5.5583349296163185
Linear,Different class,-6.390354836368632
Linear,Same class,-8.109069607110941
Linear,Different class,5.496704229015894
Linear,Different class,-5.515030060960993
Linear,Same class,2.286404562803764
Linear,Same class,-9.909433502558688
Linear,Different class,-12.883947274908673
Linear,Same class,26.874528701627945
Linear,Different class,-8.498023573385549
Linear,Different class,-2.81794703683446
Linear,Same class,-10.510889272777327
Linear,Different class,-5.1679091950495595
Linear,Same class,8.166128049692265
Linear,Same class,4.259881876016259
Linear,Same class,1.0620344072946901
Linear,Same class,2.633259814474051
Linear,Different class,0.19373504107760822
Linear,Different class,4.463112282164581
Linear,Different class,0.005664491327081552
Linear,Different class,-0.6720021040223971
Linear,Different class,-2.2451195541549507
